Topic Key,Name,Description,Keywords,Keyword Groups,Category
interior_core_identity,Ministry of Interior – Core Identity,"General activities and leadership of the Ministry of Interior. Includes the Minister's engagements, policy announcements, and strategic direction of the ministry.","Minister of Interior, Olubunmi Tunji-Ojo, Ministry of Interior, interior ministry policy, federal ministry of interior",,interior
interior_strategic_reform,Ministry Strategic & Reform Agenda,"Reform initiatives within the ministry. Includes passport process automation, prison decongestion reforms, and internal security strategy.","passport reform, prison reform, interior ministry reform, decongestion strategy, border security reform",,interior
interior_digital_assets,Official Digital Assets & Hashtags,"Official online presence and campaigns. Includes monitoring of official hashtags like #NewPassportProcess, #InteriorReform, and viral social media discussions.","#NewPassportProcess, interior ministry handle, #ReformInterior, official hashtag interior",,interior
nigeria_immigration_service,Nigeria Immigration Service (NIS),"Immigration and border control. Covers passport issuance, backlog clearance, visa on arrival, boarder patrol, and illegal migration.","NIS, Nigeria Immigration Service, Nigerian passport, passport booklet, passport renewal, immigration officer, border patrol, visa on arrival",,interior
nigerian_correctional_service,Nigerian Correctional Service (NCoS),"Prison management and inmate welfare. Covers jailbreaks, prison congestion, inmate rehabilitation, and the change from 'Prisons' to 'Correctional Service'.","NCoS, Correctional Service, Nigerian Prison, prison congestion, jailbreak, inmate welfare, correctional centre, Kuje prison, Kirikiri",,interior
nscdc_civil_defence,Nigeria Security & Civil Defence Corps (NSCDC),"Civil defence and critical infrastructure protection. Covers Agro-Rangers, pipeline vandalism, protecting national assets, and private guard regulation.","NSCDC, Civil Defence, Agro-Rangers, pipeline vandalism, critical infrastructure protection, private guard company, civil defence officer",,interior
federal_fire_service,Federal Fire Service,"Fire prevention and emergency response. Covers market fires, fire outbreaks, fire safety regulation, and equipment procurement.","Federal Fire Service, fire outbreak, market fire, fire fighter, fire truck, emergency fire response",,interior
cdcfib_oversight,CDCFIB Oversight Body,"Civil Defence, Correctional, Fire and Immigration Services Board. Covers recruitment, promotion, and discipline of officers in the paramilitary agencies.","CDCFIB, Civil Defence Board, Immigration Board, paramilitary recruitment, officer promotion interior",,interior
nigeria_evisa_system,Nigeria E-Visa System,"Electronic visa processing and administration. Covers online visa applications, business visa on arrival functionality, and tourist e-visas.","e-visa, electronic visa, visa on arrival business, online visa application, nigeria visa portal",,interior
expatriate_residence_permit,Expatriate Residence Permit (CERPAC),"Regulations for foreigners in Nigeria. Covers CERPAC (Combined Expatriate Residence Permit and Aliens Card), expatriate quota, and monthly quota limits.","CERPAC, expatriate quota, residence permit, aliens card, foreign worker permit",,interior
interior_emergency_travel,Emergency Travel Documents,Issuance of Emergency Travel Certificates (ETC) for Nigerians abroad needed to return home urgently.,"Emergency Travel Certificate, ETC document, emergency travel document, repatriation document",,interior
interas_governance,INTERAS Digital Governance,Technological governance systems within the ministry. Covers internal portals and integrated service delivery platforms.,"INTERAS, interior ministry portal, integrated service platform",,interior
interior_performance_management,Performance Management System,Tracking and evaluation of ministry performance. Covers KPI monitoring for officers and agencies.,"performance management interior, KPI tracking interior, ministry appraisal",,interior
interior_legal_regulatory,Legal & Regulatory Framework,"Laws governing interior affairs. Includes the Immigration Act, Correctional Service Act, and Marriage Act (Federal Marriage Registry).","Immigration Act, Correctional Service Act, Marriage Registry, court marriage, Ikoyi registry",,interior
