topic_key,name,description,keywords,category
fuel_pricing,Fuel Pricing,"Fuel pricing policies, subsidies, and pump price changes affecting petroleum products in Nigeria. Includes discussions about petrol, diesel, gasoline pricing, fuel subsidy removal or implementation, pump price adjustments, and economic impact of fuel pricing decisions by the government and NNPC.","fuel,petrol,diesel,subsidy,pump price,pricing,gasoline,pms,pms price,refinery,petroleum price",energy
presidential_announcements,Presidential Announcements,"Official statements, declarations, and announcements made by the President of Nigeria. Includes presidential speeches, policy announcements, executive orders, state of the nation addresses, press conferences, and public statements from the presidency. Covers major policy decisions, cabinet appointments, national addresses, and presidential communications to the public.","president,announced,declared,stated,executive,presidential,commander in chief,presidency,presidential statement",executive
military_operations,Military Operations,"Military activities, operations, and defense matters in Nigeria. Includes army operations, troop deployments, defense strategies, military exercises, armed forces activities, combat operations, and national security operations.","military,army,operation,troops,defense,armed forces,soldiers,combat,deployment,nigerian army",security
education_funding,Education Funding,"Education budget, funding, and financial allocations for educational institutions in Nigeria. Includes school funding, university budgets, educational grants, scholarship programs, tuition fees, and government allocations to education sector.","education,funding,budget,school,university,educational,academic,scholarship,tuition,education budget",education
asuu_strikes,ASUU Strikes,"Academic Staff Union of Universities strikes and negotiations in Nigeria. Includes ASUU industrial actions, lecturer strikes, university staff disputes, academic union negotiations, and university closure due to strikes.","asuu,strike,lecturers,academic staff,university strike,asuu strike,lecturer strike,academic union,university lecturers,asuu industrial action",education
healthcare_crisis,Healthcare Crisis,"Healthcare system problems, hospital failures, medical shortages, and health crises in Nigeria. Includes hospital infrastructure issues, medical equipment shortages, healthcare funding problems, and public health emergencies.","healthcare,hospital,medical,crisis,health,healthcare system,medical shortage,hospital failure,health crisis,public health",health
security_threats,Security Threats,"Security breaches, terrorist attacks, crime waves, and insecurity issues in Nigeria. Includes banditry, kidnapping, terrorism, insurgency, crime, security challenges, and law enforcement responses.","security,terrorism,banditry,kidnapping,crime,insecurity,terrorist attack,security threat,law enforcement,police",security
budget_allocation,Budget Allocation,"National budget allocation, distribution, and fiscal planning in Nigeria. Includes budget announcements, budget breakdown, sectoral allocations, budget implementation, and government spending.","budget,allocation,fiscal,government spending,budget announcement,budget breakdown,sectoral allocation,budget implementation",economy
infrastructure_projects,Infrastructure Projects,"Infrastructure development projects, construction, and public works in Nigeria. Includes road construction, bridge building, railway projects, airport development, and public infrastructure initiatives.","infrastructure,construction,project,road,bridge,railway,airport,public works,development,infrastructure development",infrastructure
corruption_cases,Corruption Cases,"Corruption scandals, fraud cases, and anti-corruption efforts in Nigeria. Includes embezzlement, bribery, financial fraud, corruption investigations, EFCC cases, and accountability measures.","corruption,fraud,scandal,embezzlement,bribery,efcc,anti-corruption,corruption case,financial fraud,accountability",governance

